#SampleID	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__WS4	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__FCPU426	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__LCP-89	d__Bacteria;p__WPS-2	d__Bacteria;p__Campylobacterota	d__Bacteria;p__MBNT15	d__Bacteria;p__GAL15	d__Bacteria;p__WOR-1	d__Bacteria;p__WS2	d__Bacteria;p__Deinococcota	d__Bacteria;p__NB1-j	d__Bacteria;p__Dependentiae	d__Bacteria;p__CK-2C2-2	d__Bacteria;p__TX1A-33	d__Bacteria;p__WS1	d__Bacteria;p__Modulibacteria	d__Bacteria;p__DTB120	d__Bacteria;p__Sva0485
SRR9612467	66.0	2054.0	1775.0	271.0	4077.0	5991.0	3958.0	963.0	18.0	2282.0	744.0	857.0	25.0	16.0	0.0	0.0	18.0	36.0	17.0	301.0	30.0	217.0	36.0	0.0	3.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612468	111.0	1392.0	1819.0	139.0	3278.0	5298.0	7861.0	937.0	60.0	1730.0	875.0	718.0	17.0	35.0	0.0	6.0	96.0	23.0	8.0	299.0	5.0	72.0	86.0	0.0	0.0	5.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612470	234.0	2863.0	32.0	7.0	4.0	638.0	5677.0	4146.0	28.0	1493.0	1027.0	168.0	6.0	215.0	45.0	0.0	7.0	584.0	0.0	9.0	54.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612471	184.0	816.0	18.0	5.0	10.0	552.0	4701.0	9121.0	40.0	2431.0	480.0	244.0	13.0	820.0	42.0	0.0	0.0	475.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612472	18.0	1416.0	48.0	0.0	24.0	385.0	7251.0	1947.0	82.0	1803.0	1345.0	150.0	0.0	15.0	25.0	0.0	6.0	1066.0	0.0	0.0	34.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612473	159.0	1841.0	41.0	2.0	22.0	366.0	7121.0	5690.0	14.0	1184.0	448.0	130.0	3.0	276.0	25.0	0.0	0.0	261.0	0.0	7.0	21.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612474	8565.0	880.0	20.0	5.0	12.0	288.0	9471.0	3586.0	13.0	806.0	909.0	320.0	15.0	497.0	19.0	0.0	9.0	115.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612475	100.0	2007.0	31.0	0.0	12.0	311.0	2843.0	5332.0	14.0	1674.0	550.0	146.0	8.0	462.0	32.0	0.0	0.0	856.0	3.0	0.0	35.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612476	129.0	729.0	43.0	8.0	49.0	273.0	3229.0	12383.0	19.0	2459.0	659.0	114.0	4.0	468.0	32.0	0.0	0.0	125.0	0.0	0.0	8.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR9612477	301.0	1337.0	2361.0	215.0	2687.0	5823.0	5448.0	2169.0	73.0	1899.0	399.0	637.0	63.0	635.0	11.0	0.0	2.0	47.0	42.0	643.0	28.0	436.0	118.0	0.0	0.0	0.0	22.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
