#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR5225217	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Hordeum vulgare	Endosphere	Not available for this type of experiment	341F,785R
SRR5225218	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225219	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum monococcum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225220	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum monococcum	Endosphere	Not available for this type of experiment	341F,785R
SRR5225221	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225222	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum monococcum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225223	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum monococcum	Endosphere	Not available for this type of experiment	341F,785R
SRR5225224	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225225	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Avena sativa	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225226	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Avena sativa	Endosphere	Not available for this type of experiment	341F,785R
SRR5225227	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225228	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Avena sativa	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225229	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Avena sativa	Endosphere	Not available for this type of experiment	341F,785R
SRR5225230	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225231	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225232	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5225233	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225234	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225235	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5225236	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225237	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Lolium arundinaceum	Rhizosphere	Not available for this type of experiment	341F,785R
