#SampleID	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__WPS-2	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Deinococcota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__RCP2-54	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Latescibacterota
SRR5224556	0.0	4310.0	5539.0	463.0	572.0	428.0	3548.0	3372.0	881.0	145.0	58.0	11.0	374.0	37.0	0.0	24.0	49.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224558	0.0	672.0	4902.0	810.0	1408.0	621.0	4065.0	3519.0	426.0	256.0	177.0	83.0	666.0	44.0	0.0	21.0	69.0	0.0	14.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224559	37.0	2260.0	7415.0	2270.0	1554.0	597.0	4096.0	7038.0	1024.0	300.0	509.0	0.0	563.0	83.0	0.0	57.0	221.0	212.0	0.0	0.0	66.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
SRR5224560	0.0	1734.0	6476.0	1195.0	777.0	273.0	410.0	3509.0	79.0	0.0	289.0	50.0	0.0	42.0	0.0	126.0	11.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224561	146.0	941.0	3775.0	642.0	1063.0	572.0	3788.0	2668.0	374.0	260.0	597.0	0.0	579.0	32.0	0.0	94.0	103.0	0.0	32.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224562	13.0	2321.0	5664.0	484.0	703.0	338.0	2391.0	2450.0	250.0	208.0	417.0	23.0	548.0	0.0	0.0	80.0	195.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224563	0.0	2861.0	5356.0	1526.0	688.0	744.0	1429.0	4107.0	44.0	13.0	516.0	32.0	45.0	38.0	0.0	59.0	12.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224564	14.0	3414.0	4572.0	1004.0	984.0	504.0	3060.0	2380.0	536.0	166.0	101.0	19.0	425.0	89.0	0.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
SRR5224565	20.0	2733.0	6069.0	491.0	518.0	422.0	2562.0	2297.0	329.0	231.0	214.0	76.0	531.0	41.0	0.0	31.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224567	74.0	1323.0	5794.0	1871.0	1777.0	518.0	5968.0	5388.0	482.0	287.0	686.0	147.0	1898.0	178.0	0.0	64.0	248.0	86.0	123.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
