#SampleID	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Firmicutes	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Deinococcota	d__Bacteria;p__Dependentiae	d__Bacteria;p__RCP2-54	d__Bacteria;p__WPS-2	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__TX1A-33	d__Bacteria;p__FCPU426	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__MBNT15	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__WS2
SRR11143450	3091.0	2806.0	4339.0	1120.0	25.0	797.0	112.0	417.0	570.0	186.0	1000.0	1283.0	15.0	186.0	167.0	25.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143451	3093.0	4206.0	3558.0	560.0	0.0	644.0	95.0	33.0	347.0	0.0	1200.0	952.0	0.0	0.0	269.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143452	6274.0	5401.0	7935.0	2524.0	0.0	1215.0	189.0	839.0	1017.0	165.0	2448.0	2169.0	0.0	325.0	423.0	55.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143453	3986.0	3968.0	4848.0	2181.0	0.0	670.0	134.0	295.0	982.0	390.0	561.0	1169.0	0.0	139.0	328.0	54.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143454	3885.0	3130.0	3279.0	1666.0	0.0	1021.0	278.0	363.0	347.0	409.0	524.0	600.0	0.0	50.0	49.0	0.0	25.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143462	1479.0	8325.0	6043.0	731.0	30.0	900.0	109.0	1155.0	463.0	174.0	459.0	1457.0	0.0	27.0	235.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143464	1387.0	4600.0	5553.0	1117.0	0.0	508.0	104.0	663.0	284.0	50.0	342.0	494.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
SRR11143465	1532.0	4595.0	2427.0	397.0	0.0	692.0	73.0	564.0	271.0	81.0	324.0	686.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143466	1371.0	5120.0	3599.0	421.0	0.0	825.0	124.0	948.0	289.0	229.0	250.0	1022.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143467	2046.0	6136.0	3960.0	769.0	0.0	1066.0	310.0	912.0	300.0	258.0	231.0	1035.0	0.0	13.0	221.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143469	1613.0	5621.0	4350.0	1004.0	0.0	1113.0	111.0	769.0	293.0	189.0	317.0	1332.0	0.0	82.0	100.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143471	861.0	6795.0	2790.0	244.0	0.0	455.0	0.0	424.0	182.0	35.0	57.0	743.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143472	1622.0	3251.0	3793.0	847.0	0.0	337.0	88.0	590.0	248.0	78.0	491.0	725.0	0.0	7.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143473	1367.0	4162.0	2462.0	370.0	0.0	644.0	89.0	693.0	200.0	51.0	249.0	473.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143475	3411.0	5473.0	4061.0	826.0	0.0	951.0	160.0	315.0	381.0	97.0	64.0	964.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143477	1753.0	5253.0	3949.0	609.0	0.0	526.0	243.0	501.0	206.0	61.0	607.0	1172.0	0.0	0.0	92.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143480	2120.0	5124.0	2766.0	444.0	0.0	319.0	86.0	236.0	112.0	0.0	425.0	525.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
