#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR21723374	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723375	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723376	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723377	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723378	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723379	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723380	azarbad2022response	Azarbad et al. (2022)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	520F,799R
SRR21723381	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723382	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723383	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R
SRR21723384	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723385	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723386	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723389	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723390	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723391	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723392	azarbad2022response	Azarbad et al. (2022)	Control	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723393	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
SRR21723395	azarbad2022response	Azarbad et al. (2022)	Drought	PACMAD clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R
