#SampleID	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__WS2	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__FCPU426	d__Bacteria;p__WPS-2	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Latescibacterota	d__Bacteria;p__NB1-j	d__Bacteria;p__Deinococcota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__TX1A-33	d__Bacteria;p__Dadabacteria	d__Bacteria;p__MBNT15	d__Bacteria;p__Margulisbacteria
ERR4837301	19776.0	354.0	2406.0	1605.0	301.0	115.0	1366.0	2277.0	407.0	2025.0	60.0	4240.0	0.0	3420.0	3423.0	3869.0	316.0	132.0	21.0	0.0	5.0	5.0	5.0	0.0	16.0	0.0	59.0	40.0	0.0	0.0	106.0	12.0	18.0	0.0	22.0	0.0
ERR4837302	19863.0	182.0	2526.0	2029.0	395.0	281.0	867.0	1625.0	244.0	1065.0	23.0	3912.0	16.0	1589.0	3340.0	3361.0	149.0	119.0	0.0	0.0	41.0	4.0	0.0	0.0	5.0	0.0	22.0	17.0	0.0	0.0	58.0	3.0	23.0	0.0	0.0	0.0
ERR4837303	24802.0	330.0	3210.0	2596.0	389.0	163.0	2084.0	2270.0	452.0	2168.0	39.0	5312.0	6.0	2649.0	6760.0	4763.0	337.0	165.0	26.0	0.0	22.0	9.0	0.0	0.0	13.0	17.0	23.0	15.0	0.0	0.0	111.0	0.0	0.0	0.0	9.0	0.0
ERR4837304	16199.0	386.0	2503.0	1018.0	402.0	88.0	1697.0	2162.0	354.0	4171.0	45.0	1705.0	13.0	2783.0	2148.0	5243.0	323.0	74.0	64.0	0.0	6.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	20.0	94.0	19.0	0.0	0.0
ERR4837305	18658.0	442.0	1763.0	1714.0	390.0	63.0	1427.0	1857.0	331.0	1897.0	46.0	3009.0	2.0	2950.0	3407.0	4650.0	196.0	159.0	51.0	0.0	12.0	2.0	0.0	0.0	12.0	16.0	53.0	20.0	0.0	0.0	43.0	46.0	0.0	0.0	0.0	0.0
ERR4837306	13846.0	608.0	1643.0	619.0	322.0	137.0	2372.0	2843.0	801.0	5200.0	58.0	1771.0	2.0	1665.0	1788.0	4364.0	437.0	107.0	17.0	0.0	15.0	0.0	23.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	35.0	0.0	47.0	17.0	0.0	0.0
ERR4837307	7757.0	147.0	980.0	387.0	356.0	92.0	648.0	1570.0	348.0	2384.0	41.0	1481.0	4.0	893.0	1664.0	2677.0	222.0	36.0	0.0	0.0	3.0	11.0	22.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	9.0	0.0	25.0	12.0	0.0	0.0
ERR4837308	9581.0	98.0	1097.0	319.0	323.0	222.0	760.0	1548.0	389.0	3067.0	43.0	1320.0	14.0	800.0	1747.0	2851.0	215.0	194.0	0.0	0.0	9.0	7.0	8.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	77.0	8.0	0.0	0.0
ERR4837309	16371.0	92.0	1297.0	785.0	173.0	181.0	559.0	1369.0	311.0	1633.0	47.0	2797.0	5.0	1023.0	2622.0	2507.0	129.0	110.0	0.0	0.0	3.0	4.0	0.0	0.0	8.0	12.0	17.0	15.0	0.0	0.0	33.0	21.0	40.0	0.0	10.0	0.0
ERR4837310	14776.0	156.0	2287.0	2027.0	319.0	185.0	1284.0	2104.0	546.0	1610.0	61.0	4165.0	16.0	1205.0	2400.0	2878.0	215.0	167.0	12.0	2.0	53.0	2.0	0.0	0.0	4.0	0.0	29.0	8.0	0.0	3.0	25.0	7.0	0.0	0.0	0.0	0.0
ERR4837311	15967.0	274.0	1693.0	1069.0	167.0	135.0	950.0	1397.0	334.0	1853.0	28.0	3155.0	4.0	1616.0	2209.0	3168.0	117.0	68.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	7.0	22.0	20.0	0.0	0.0	62.0	0.0	35.0	0.0	0.0	0.0
ERR4837312	13759.0	395.0	1844.0	921.0	371.0	478.0	1805.0	2939.0	169.0	4023.0	129.0	1098.0	20.0	2003.0	2001.0	5526.0	454.0	106.0	36.0	0.0	7.0	7.0	15.0	0.0	3.0	0.0	30.0	0.0	0.0	0.0	47.0	0.0	46.0	30.0	0.0	0.0
ERR4837313	7385.0	34.0	993.0	1279.0	141.0	74.0	514.0	861.0	234.0	1021.0	12.0	2669.0	9.0	623.0	2796.0	1357.0	59.0	97.0	0.0	0.0	22.0	2.0	0.0	0.0	3.0	0.0	0.0	4.0	2.0	0.0	7.0	0.0	0.0	0.0	6.0	0.0
ERR4837314	6456.0	21.0	662.0	593.0	84.0	113.0	692.0	516.0	110.0	499.0	2.0	1455.0	11.0	594.0	1999.0	1028.0	48.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	7.0	0.0	17.0	0.0	6.0	0.0
ERR4837315	10372.0	430.0	1270.0	642.0	211.0	67.0	1741.0	2709.0	730.0	3545.0	80.0	1599.0	18.0	1252.0	1875.0	2860.0	355.0	69.0	10.0	0.0	15.0	10.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	11.0	6.0	40.0	13.0	0.0	0.0
ERR4837316	13237.0	332.0	1468.0	894.0	374.0	150.0	1926.0	2248.0	539.0	4222.0	107.0	1670.0	25.0	3436.0	2978.0	4259.0	347.0	74.0	26.0	0.0	0.0	7.0	0.0	0.0	46.0	0.0	22.0	0.0	0.0	0.0	0.0	11.0	189.0	0.0	0.0	0.0
