#SampleID	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__NB1-j	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__FCPU426	d__Bacteria;p__MBNT15	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__WPS-2
SRR21723178	479.0	5116.0	762.0	0.0	1786.0	2002.0	10285.0	5.0	121.0	66.0	80.0	7.0	0.0	12.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723180	525.0	9276.0	1601.0	0.0	1719.0	1604.0	10827.0	8.0	106.0	39.0	88.0	15.0	0.0	3.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723181	275.0	7042.0	1374.0	0.0	2264.0	2264.0	12541.0	6.0	85.0	0.0	72.0	22.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723182	292.0	5523.0	817.0	0.0	769.0	980.0	7189.0	5.0	73.0	0.0	70.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723183	675.0	7099.0	1685.0	0.0	683.0	2229.0	15905.0	0.0	212.0	74.0	77.0	9.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723184	648.0	6420.0	1025.0	0.0	1862.0	2322.0	11487.0	0.0	174.0	91.0	105.0	2.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723185	148.0	3305.0	561.0	0.0	531.0	2472.0	10491.0	0.0	57.0	14.0	42.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723186	471.0	8216.0	1532.0	0.0	969.0	1498.0	10492.0	9.0	96.0	9.0	102.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723187	673.0	6982.0	956.0	2.0	1504.0	2092.0	8391.0	9.0	46.0	43.0	75.0	17.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723188	484.0	7771.0	1430.0	0.0	962.0	926.0	9075.0	2.0	197.0	38.0	73.0	19.0	0.0	5.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723189	103.0	3456.0	1077.0	0.0	404.0	697.0	5633.0	4.0	14.0	0.0	43.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723193	139.0	7055.0	934.0	0.0	2415.0	1032.0	9016.0	0.0	54.0	44.0	42.0	10.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723194	578.0	3255.0	436.0	0.0	1319.0	3004.0	10772.0	8.0	104.0	116.0	56.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723196	495.0	4900.0	449.0	0.0	1804.0	1382.0	6714.0	6.0	105.0	75.0	66.0	8.0	0.0	6.0	2.0	9.0	0.0	0.0	0.0	45.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723197	272.0	1624.0	175.0	0.0	807.0	2550.0	5097.0	0.0	23.0	56.0	17.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723199	478.0	3384.0	113.0	0.0	1869.0	2327.0	8034.0	0.0	117.0	47.0	21.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723200	843.0	4095.0	492.0	0.0	2093.0	2941.0	8626.0	0.0	170.0	151.0	11.0	4.0	5.0	2.0	0.0	10.0	4.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
SRR21723201	914.0	4324.0	468.0	0.0	1341.0	2035.0	11826.0	0.0	139.0	97.0	53.0	2.0	0.0	10.0	4.0	2.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
SRR21723202	731.0	5247.0	609.0	0.0	2117.0	4810.0	10983.0	3.0	225.0	162.0	25.0	2.0	0.0	18.0	6.0	31.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723217	333.0	2691.0	474.0	0.0	465.0	1404.0	8659.0	7.0	60.0	43.0	35.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	11.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723219	609.0	4701.0	582.0	0.0	1632.0	2085.0	8881.0	5.0	131.0	63.0	61.0	10.0	0.0	15.0	4.0	0.0	0.0	2.0	2.0	23.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
SRR21723220	970.0	6518.0	836.0	0.0	2509.0	3366.0	12132.0	19.0	161.0	87.0	73.0	12.0	0.0	27.0	3.0	19.0	2.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
SRR21723221	2208.0	6347.0	831.0	0.0	666.0	3520.0	13835.0	27.0	339.0	160.0	45.0	29.0	0.0	28.0	0.0	11.0	2.0	3.0	0.0	83.0	3.0	4.0	11.0	0.0	3.0	35.0	0.0	0.0	0.0	0.0
SRR21723222	856.0	8921.0	1425.0	0.0	3668.0	3357.0	13581.0	19.0	257.0	138.0	74.0	41.0	3.0	16.0	26.0	9.0	3.0	0.0	0.0	28.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723223	683.0	7132.0	1106.0	0.0	1907.0	1744.0	8099.0	9.0	110.0	51.0	62.0	13.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723227	201.0	2712.0	722.0	0.0	1413.0	1547.0	5600.0	0.0	58.0	42.0	31.0	2.0	0.0	0.0	15.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
