#SampleID	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Dependentiae	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__MBNT15	d__Bacteria;p__NB1-j	d__Bacteria;p__FCPU426	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Dadabacteria	d__Bacteria;p__Spirochaetota
SRR8744088	6.0	5306.0	972.0	4532.0	95.0	247.0	430.0	0.0	3.0	2101.0	69.0	0.0	0.0	7.0	4.0	3.0	0.0	0.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744090	104.0	8864.0	2484.0	13284.0	785.0	2128.0	2633.0	22.0	142.0	1154.0	360.0	37.0	21.0	21.0	29.0	0.0	0.0	14.0	15.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744093	39.0	11005.0	5237.0	13492.0	705.0	1924.0	3255.0	15.0	80.0	1274.0	204.0	105.0	5.0	18.0	62.0	37.0	0.0	4.0	26.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744096	29.0	11303.0	3235.0	14312.0	913.0	2678.0	3488.0	39.0	248.0	1517.0	394.0	52.0	5.0	0.0	49.0	9.0	0.0	16.0	39.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744097	71.0	11655.0	4306.0	18370.0	523.0	1281.0	3701.0	26.0	44.0	1175.0	224.0	52.0	0.0	0.0	70.0	24.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744099	29.0	7888.0	3728.0	11134.0	408.0	953.0	2929.0	3.0	49.0	1068.0	174.0	44.0	0.0	6.0	26.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744102	76.0	8659.0	2307.0	12805.0	599.0	2232.0	2484.0	33.0	109.0	1260.0	262.0	48.0	11.0	0.0	38.0	7.0	0.0	0.0	88.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0
SRR8744103	575.0	59662.0	14777.0	69991.0	6303.0	14318.0	16220.0	70.0	809.0	6237.0	2283.0	356.0	36.0	216.0	207.0	35.0	10.0	0.0	127.0	10.0	17.0	67.0	24.0	15.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR8744117	0.0	5133.0	652.0	6623.0	116.0	60.0	371.0	0.0	0.0	1358.0	20.0	16.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744121	13.0	12107.0	3248.0	12684.0	990.0	2660.0	2992.0	28.0	172.0	1497.0	369.0	48.0	0.0	36.0	49.0	0.0	2.0	0.0	26.0	0.0	0.0	40.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744122	0.0	7938.0	462.0	9286.0	153.0	221.0	654.0	0.0	18.0	3973.0	35.0	10.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744123	6.0	5042.0	1201.0	6028.0	296.0	1140.0	1493.0	11.0	57.0	464.0	199.0	35.0	9.0	2.0	0.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744124	31.0	12018.0	3911.0	16794.0	981.0	2974.0	4206.0	24.0	193.0	1242.0	363.0	55.0	5.0	36.0	27.0	0.0	3.0	6.0	0.0	0.0	15.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744125	16.0	4229.0	1538.0	12354.0	61.0	286.0	985.0	6.0	22.0	633.0	147.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744126	0.0	3789.0	253.0	6489.0	16.0	44.0	146.0	0.0	0.0	1759.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744129	14.0	8393.0	668.0	6617.0	354.0	695.0	892.0	3.0	18.0	2624.0	111.0	28.0	2.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
SRR8744130	18.0	12637.0	403.0	6887.0	316.0	353.0	482.0	0.0	0.0	7126.0	59.0	12.0	0.0	0.0	10.0	8.0	0.0	0.0	5.0	5.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744132	23.0	8614.0	316.0	4791.0	294.0	160.0	533.0	0.0	0.0	2801.0	50.0	6.0	0.0	11.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744133	3.0	13047.0	16.0	4013.0	124.0	61.0	176.0	0.0	0.0	5357.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744134	40.0	4532.0	1900.0	4375.0	289.0	797.0	1418.0	16.0	52.0	525.0	103.0	62.0	0.0	56.0	38.0	21.0	0.0	0.0	6.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744135	27.0	9130.0	1395.0	13432.0	160.0	687.0	1953.0	22.0	55.0	3218.0	129.0	23.0	4.0	7.0	14.0	0.0	0.0	15.0	16.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744136	31.0	16245.0	6767.0	17833.0	1192.0	1792.0	3787.0	17.0	75.0	1832.0	432.0	84.0	9.0	25.0	30.0	18.0	0.0	0.0	25.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0
SRR8744175	19.0	7440.0	1545.0	6883.0	232.0	990.0	2385.0	0.0	51.0	1298.0	137.0	38.0	0.0	7.0	33.0	13.0	0.0	0.0	11.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744176	8.0	3868.0	803.0	5791.0	17.0	134.0	579.0	0.0	11.0	683.0	16.0	32.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744177	32.0	8697.0	2547.0	11798.0	282.0	588.0	1555.0	6.0	11.0	2028.0	51.0	76.0	0.0	0.0	44.0	33.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744179	12.0	4941.0	1108.0	18012.0	142.0	154.0	883.0	13.0	7.0	301.0	18.0	65.0	5.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744184	8.0	3190.0	1483.0	4134.0	198.0	433.0	1181.0	6.0	23.0	235.0	37.0	27.0	0.0	12.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744185	14.0	6258.0	1755.0	7198.0	416.0	1323.0	1794.0	9.0	76.0	633.0	149.0	46.0	6.0	14.0	12.0	0.0	4.0	6.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
SRR8744186	91.0	10170.0	2226.0	12068.0	635.0	1764.0	2430.0	14.0	98.0	856.0	230.0	41.0	0.0	0.0	13.0	0.0	0.0	0.0	21.0	0.0	4.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744188	2.0	3794.0	1553.0	13065.0	199.0	493.0	2181.0	8.0	19.0	273.0	80.0	47.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744190	12.0	6721.0	1389.0	5513.0	150.0	249.0	750.0	0.0	0.0	1270.0	53.0	13.0	2.0	0.0	6.0	19.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8744191	73.0	14257.0	2759.0	14698.0	933.0	3026.0	2971.0	119.0	129.0	1629.0	523.0	163.0	17.0	50.0	60.0	7.0	15.0	7.0	39.0	32.0	0.0	46.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
