#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR8743862	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743863	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743866	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743868	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743869	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743879	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743880	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743885	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743886	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743887	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743889	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743892	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743893	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743902	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743903	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743904	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743905	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743906	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743907	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743908	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
SRR8743912	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743913	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743914	azarbad2020four	Azarbad et al. (2020)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	520F,799R2
SRR8743915	azarbad2020four	Azarbad et al. (2020)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	520F,799R2
